trigger_name,ASR,PBA_mIoU,PBA_mAcc,PBA_allAcc,CBA_mIoU,CBA_mAcc,CBA_allAcc,Area,Perimeter,Circularity,Spatial Entropy,Color Entropy,Spectral Centroid,Hu_1,Hu_6,LPIPS_Max,LPIPS_Mean,LPIPS_Min,MSE_Max,MSE_Mean,MSE_Min,PSNR_Max,PSNR_Mean,PSNR_Min,SSIM_Max,SSIM_Mean,SSIM_Min
vertical-bars_vegetation-random,0.7687,0.6253,0.7172,0.9253,0.6377,0.7306,0.9383,1485,796.0,0.0295,0.9998,5.9979,20.2212,4.32646,-37.66224,0.02425,0.017301,0.007248,45.729904,11.340929,5.114101,41.043111,38.156088,31.528801,0.993752,0.991636,0.990525
bullseye_vegetation-random,0.8696,0.612,0.6925,0.9236,0.6363,0.7267,0.9378,620,178.51,0.2445,0.7317,5.878,20.5625,5.57365,0.0,0.020939,0.014487,0.005808,20.180581,4.927769,2.157927,44.790437,41.783337,35.081467,0.995786,0.99305,0.991637
fractal_inverted-road,0.7903,0.621,0.7121,0.9254,0.6334,0.7262,0.9385,985,823.39,0.0183,0.9104,5.7502,18.3372,2.89613,0.0,0.030173,0.021479,0.008877,52.81279,23.258629,3.564919,42.610307,34.859024,30.903413,0.99479,0.991329,0.990163
bullseye_road-random-opaque-50,0.091,0.6201,0.7145,0.9215,0.6299,0.7255,0.935,620,178.51,0.2445,0.7317,5.7755,20.3149,5.57365,0.0,0.013911,0.005495,0.001087,3.725112,0.916182,0.546799,50.752524,48.911925,42.41941,0.997822,0.995819,0.992972
bus_trigger2,0.8959,0.6046,0.6824,0.9219,0.6354,0.7274,0.9382,2433,280.23,0.3893,0.7132,7.283,12.0453,3.63485,10.36901,0.019787,0.013503,0.004881,53.470501,16.392907,10.907377,37.7536,36.14282,30.849661,0.993607,0.992268,0.991468
blob_road-inverted-opaque-50,0.8738,0.5987,0.6768,0.9219,0.6356,0.7251,0.9381,2024,211.68,0.5676,0.9159,5.8772,13.3458,2.22443,8.62277,0.016731,0.010358,0.002671,27.005871,11.801752,1.564458,46.187166,37.814431,33.816222,0.996185,0.993965,0.992353
blob_vegetation-random-opaque-50,0.7504,0.609,0.6959,0.9212,0.6291,0.725,0.935,2024,211.68,0.5676,0.9159,5.9728,18.9735,2.22443,8.62277,0.015936,0.010676,0.003643,17.001402,3.980569,1.554268,46.215545,42.798473,35.825956,0.995997,0.993934,0.992763
diagonal-bars_road-random,0.6167,0.6228,0.7143,0.9254,0.6326,0.724,0.9379,1090,1041.95,0.0126,0.943,5.8486,18.2297,4.35536,0.0,0.018774,0.010594,0.003498,22.623796,3.491311,1.047899,47.927608,43.99989,34.585149,0.995494,0.993044,0.99055
triangle_vegetation-random,0.735,0.623,0.7146,0.9254,0.6335,0.7242,0.9382,1513,184.37,0.5593,1.0,5.9767,19.2757,3.0919,-8.47896,0.01957,0.014481,0.006818,47.605459,10.824135,4.334979,41.760933,38.453946,31.354236,0.99539,0.99377,0.992903
circle_road-random,0.8767,0.6234,0.7077,0.9247,0.6378,0.7281,0.9381,1120,183.2,0.4194,0.9509,5.7615,15.2971,6.25804,0.0,0.015403,0.009293,0.00264,23.134562,3.557276,0.974919,48.241118,43.994278,34.488191,0.996157,0.994605,0.993113
bus_trigger,0.8767,0.6044,0.6937,0.9203,0.6287,0.7249,0.935,2481,208.43,0.7177,0.6797,5.7636,12.1046,4.21015,11.08369,0.019449,0.012572,0.004739,73.917258,14.213123,3.44182,42.762923,37.523661,29.443345,0.994806,0.993189,0.991865
blob_vegetation-random,0.8578,0.6307,0.7201,0.9256,0.6409,0.7307,0.9387,2024,211.68,0.5676,0.9159,5.9728,18.9735,2.22443,8.62277,0.02099,0.015554,0.008988,66.086088,14.203911,4.753892,41.36031,37.42596,29.929703,0.994246,0.992752,0.991849
diagonal-bars_road-inverted-opaque-50,0.6969,0.6213,0.7087,0.9249,0.6364,0.7275,0.938,1090,1041.95,0.0126,0.943,5.8589,17.26,4.35536,0.0,0.019433,0.012245,0.003437,14.703154,6.625861,1.317383,46.933682,40.267816,36.456698,0.996267,0.991834,0.990202
noise_road-inverted-opaque-50,0.8718,0.5986,0.6727,0.9212,0.6354,0.7291,0.9378,1476,818.63,0.0277,0.9996,5.8329,20.6464,4.82556,12.06995,0.024295,0.016447,0.004783,19.778856,8.806382,1.595142,46.102811,39.051754,35.168792,0.996032,0.991676,0.990112
square_road-inverted-opaque-50,0.8541,0.6086,0.703,0.921,0.6262,0.7238,0.9348,3025,216.0,0.8148,0.0,5.8585,17.0227,32.39554,0.0,0.019408,0.012214,0.003587,39.810299,17.419687,2.68965,43.833846,36.120486,32.130849,0.995564,0.992984,0.990942
random_road-inverted,0.8766,0.611,0.6934,0.924,0.6375,0.7258,0.9382,1476,818.63,0.0277,0.9996,5.8329,20.6464,4.82556,12.06995,0.029906,0.022364,0.010844,79.268702,34.683893,5.103408,41.052201,33.135737,29.139786,0.993863,0.99079,0.98967
vertical-bars_road-random-opaque-50,0.343,0.6117,0.7051,0.9213,0.6294,0.7256,0.9349,1485,796.0,0.0295,0.9998,5.8034,18.4394,4.32646,-37.66224,0.014881,0.007195,0.001537,8.120672,1.512999,0.630528,50.133759,47.169237,39.034884,0.997209,0.994846,0.991705
triangle_road-inverted-opaque-50,0.8413,0.6137,0.706,0.9213,0.6304,0.7251,0.9349,1513,184.37,0.5593,1.0,5.7809,13.2047,3.0919,-8.47896,0.016899,0.009709,0.002767,20.24309,9.119814,1.312948,46.94833,38.900035,35.068035,0.996726,0.994694,0.993377
